"NumEnr"|"Référence"|"Tare"|"Commentaires"|"Date_Création"|"Date_Modification"|"Clos"|"Stockage"|"Article"
"70"|"Y023"|"35535"|""|"12/07/2006 15:30:36"|"05/09/2008 11:20:09"|"0"|"TBS-1"|"302"
"71"|"Sac-11"|"0"|""|"12/07/2006 16:13:22"|"12/07/2006 16:13:37"|"0"|"S-2"|"303"
"72"|"Y045"|"35883"|""|"12/07/2006 16:15:33"|"05/09/2008 11:37:16"|"0"|"TBS-2"|"303"
"74"|"Y157"|"36231"|""|"12/07/2006 16:41:01"|"05/09/2008 11:37:28"|"0"|"TBS-2"|"304"
"75"|"A935"|"57547"|""|"12/07/2006 16:55:07"|"13/05/2013 15:31:40"|"0"|"Elap-3"|"305"
"76"|"A905"|"57424"|""|"12/07/2006 17:13:58"|"13/05/2013 15:34:34"|"0"|"Elap-3"|"307"
"77"|"B603"|"30102"|""|"13/07/2006 08:43:10"|"07/08/2008 11:00:02"|"0"|"Elap-3"|"368"
"78"|"B153"|"31322"|""|"13/07/2006 08:43:15"|"07/08/2008 10:59:32"|"0"|"Elap-3"|"368"
"79"|"Y024"|"35786"|""|"13/07/2006 08:47:48"|"05/09/2008 11:20:21"|"0"|"TBS-1"|"308"
"80"|"Y006"|"35813"|""|"13/07/2006 08:49:58"|"05/09/2008 11:20:34"|"0"|"TBS-1"|"352"
"82"|"Y136"|"36286"|""|"13/07/2006 08:54:08"|"08/09/2008 15:01:53"|"0"|"TBS-3"|"353"
